symbol,name,price,exchange,exchangeShortName,type
CIPLA.NS,Cipla Limited,1489.4,National Stock Exchange of India,NSE,stock
PFIZER.NS,Pfizer Limited,4357.65,National Stock Exchange of India,NSE,stock
USCC-U.TO,Horizons US Large Cap Equity Covered Call ETF,13.37,Toronto Stock Exchange,TSX,etf
GLAND.NS,Gland Pharma Limited,1788.7,National Stock Exchange of India,NSE,stock
SBBC.V,Simply Better Brands Corp.,0.36,Toronto Stock Exchange Ventures,TSXV,stock
4186.T,"Tokyo Ohka Kogyo Co., Ltd.",4406.0,Tokyo,JPX,stock
0P00017UWQ.L,Vanguard Target Retirement 2030 Fund Accumulation Shares,18201.5,London Stock Exchange,LSE,trust
PIIND.BO,PI Industries Limited,3856.2,Bombay Stock Exchange,BSE,stock
GENESYS.NS,Genesys International Corporation Limited,635.4,National Stock Exchange of India,NSE,stock
1020.HK,Cybernaut International Holdings Company Limited,0.095,HKSE,HKSE,stock
INFY.NS,Infosys Limited,1482.85,National Stock Exchange of India,NSE,stock
LYXC.DE,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Acc,151.755,Frankfurt Stock Exchange,XETRA,etf
APCOTEXIND.NS,Apcotex Industries Limited,442.15,National Stock Exchange of India,NSE,stock
TEXRAIL.BO,Texmaco Rail & Engineering Limited,170.7,Bombay Stock Exchange,BSE,stock
SSK.JO,Stefanutti Stocks Holdings Limited,115.0,Johannesburg,JNB,stock
0QZS.L,"Tripadvisor, Inc.",27.635,London Stock Exchange,LSE,stock
ARCHITORG.BO,Archit Organosys Limited,45.28,Bombay Stock Exchange,BSE,stock
RRRAX,DWS RREEF Real Estate Securities Fund,20.27,NASDAQ,NASDAQ,trust
BW-PA,"Babcock & Wilcox Enterprises, Inc.",10.5,New York Stock Exchange,NYSE,stock
WANBURY.NS,Wanbury Limited,159.95,National Stock Exchange of India,NSE,stock
PIIND.NS,PI Industries Limited,3856.45,National Stock Exchange of India,NSE,stock
6967.T,"Shinko Electric Industries Co., Ltd.",5606.0,Tokyo,JPX,stock
MTG.SW,Meier Tobler Group AG,33.85,Swiss Exchange,SIX,stock
4551.TW,"Global PMX Co., Ltd.",107.5,Taiwan,TAI,stock
ASIANPAINT.NS,Asian Paints Limited,2874.2,National Stock Exchange of India,NSE,stock
CANBK.NS,Canara Bank,594.7,National Stock Exchange of India,NSE,stock
WMB,"The Williams Companies, Inc.",39.3,New York Stock Exchange,NYSE,stock
IJPA.L,iShares III Public Limited Company - iShares Core MSCI Japan IMI UCITS ETF,54.83,London Stock Exchange,LSE,etf
OFSS.BO,Oracle Financial Services Software Limited,8823.9,Bombay Stock Exchange,BSE,stock
ARROWHEAD.BO,Arrowhead Seperation Engineeri,140.0,Bombay Stock Exchange,BSE,stock
KOTHARIPRO.NS,Kothari Products Limited,122.8,National Stock Exchange of India,NSE,stock
6928.T,"Enomoto Co.,Ltd.",1589.0,Tokyo,JPX,stock
TECHM.NS,Tech Mahindra Limited,1236.8,National Stock Exchange of India,NSE,stock
3023.TW,"SINBON Electronics Co., Ltd.",286.0,Taiwan,TAI,stock
ZYDUSLIFE.BO,Zydus Lifesciences Limited,992.9,Bombay Stock Exchange,BSE,stock
AEIN.DE,Allgeier SE,20.4,Frankfurt Stock Exchange,XETRA,stock
IEFA,iShares Core MSCI EAFE ETF,73.37,BATS,ETF,etf
DIVISLAB.NS,Divi's Laboratories Limited,3622.5,National Stock Exchange of India,NSE,stock
VAKRANGEE.NS,Vakrangee Limited,21.85,National Stock Exchange of India,NSE,stock
FCL.NS,Fineotex Chemical Limited,380.2,National Stock Exchange of India,NSE,stock
OPAD,Offerpad Solutions Inc.,7.73,New York Stock Exchange,NYSE,stock
TRIVENI.NS,Triveni Engineering & Industries Limited,334.0,National Stock Exchange of India,NSE,stock
DMART.NS,Avenue Supermarts Limited,4411.85,National Stock Exchange of India,NSE,stock
MOREPENLAB.NS,Morepen Laboratories Limited,47.2,National Stock Exchange of India,NSE,stock
7729.T,"Tokyo Seimitsu Co., Ltd.",11550.0,Tokyo,JPX,stock
SRF.NS,SRF Limited,2621.8,National Stock Exchange of India,NSE,stock
FLRAX,Nuveen Large Cap Select Fund Class A,40.39,NASDAQ,NASDAQ,trust
ATUL.BO,Atul Ltd,5900.6,Bombay Stock Exchange,BSE,stock
POWERMECH.BO,Power Mech Projects Limited,5317.85,Bombay Stock Exchange,BSE,stock
0DQB.L,Belships ASA,21.40193,London Stock Exchange,LSE,stock
MCX.NS,Multi Commodity Exchange of India Limited,3575.9,National Stock Exchange of India,NSE,stock
ALPA.NS,Alpa Laboratories Limited,93.5,National Stock Exchange of India,NSE,stock
IHAK,iShares Cybersecurity and Tech ETF,46.16,New York Stock Exchange Arca,AMEX,etf
AEL.JO,Altron Limited,1139.0,Johannesburg,JNB,stock
CYIENTDLM.NS,Cyient DLM Private Limited,704.65,National Stock Exchange of India,NSE,stock
AUC.AX,Ausgold Limited,0.034,Australian Securities Exchange,ASX,stock
3035.TW,Faraday Technology Corporation,347.5,Taiwan,TAI,stock
1233.TW,"Ten Ren Tea Co., Ltd.",34.0,Taiwan,TAI,stock
GPTINFRA.NS,GPT Infraprojects Limited,180.25,National Stock Exchange of India,NSE,stock
GBTG,"Global Business Travel Group, Inc.",6.01,New York Stock Exchange,NYSE,stock
TIPSINDLTD.NS,Tips Industries Limited,470.0,National Stock Exchange of India,NSE,stock
DATAMATICS.NS,Datamatics Global Services Limited,587.7,National Stock Exchange of India,NSE,stock
2548.TW,"Huaku Development Co., Ltd.",127.0,Taiwan,TAI,stock
AVES,Avantis Emerging Markets Value ETF,47.64,New York Stock Exchange Arca,AMEX,etf
MINDACORP.BO,Minda Corporation Limited,414.55,Bombay Stock Exchange,BSE,stock
CYIENT.NS,Cyient Limited,2009.1,National Stock Exchange of India,NSE,stock
GCI.AX,Gryphon Capital Income Trust,2.04,Australian Securities Exchange,ASX,trust
BOIL.CN,Beyond Oil Ltd.,0.62,Canadian Securities Exchange,CNQ,stock
ORBTEXP.NS,Orbit Exports Limited,165.4,National Stock Exchange of India,NSE,stock
HAVELLS.NS,Havells India Limited,1544.15,National Stock Exchange of India,NSE,stock
PLASTIBLEN.NS,Plastiblends India Limited,249.9,National Stock Exchange of India,NSE,stock
SCHO.CO,Aktieselskabet Schouw & Co.,539.0,Copenhagen,CPH,stock
VTRU,Vitru Limited,15.36,NASDAQ Global Select,NASDAQ,stock
WALCHANNAG.NS,Walchandnagar Industries Limited,222.4,National Stock Exchange of India,NSE,stock
BPOSY,bpost NV/SA,3.745,Other OTC,PNK,stock
CIGNITITEC.NS,Cigniti Technologies Limited,1275.85,National Stock Exchange of India,NSE,stock
1061.HK,Essex Bio-Technology Limited,2.21,HKSE,HKSE,stock
ARVSMART.NS,Arvind SmartSpaces Limited,740.0,National Stock Exchange of India,NSE,stock
DYNAMATECH.NS,Dynamatic Technologies Limited,8334.1,National Stock Exchange of India,NSE,stock
ASPI,ASP Isotopes Inc. Common Stock,3.69,NASDAQ Global Market,NASDAQ,stock
LTTS.NS,L&T Technology Services Limited,5582.5,National Stock Exchange of India,NSE,stock
TRIGYN.NS,Trigyn Technologies Limited,105.0,National Stock Exchange of India,NSE,stock
VRLLOG.NS,VRL Logistics Limited,559.45,National Stock Exchange of India,NSE,stock
KPITTECH.BO,KPIT Technologies Limited,1511.05,Bombay Stock Exchange,BSE,stock
WINS.JK,PT Wintermar Offshore Marine Tbk,470.0,Jakarta Stock Exchange,JKT,stock
BRRLY,Barry Callebaut AG,14.2,Other OTC,PNK,stock
AIMCOPEST.BO,Aimco Pesticides Limited,102.79,Bombay Stock Exchange,BSE,stock
APTECHT.NS,Aptech Limited,245.2,National Stock Exchange of India,NSE,stock
FIEMIND.NS,Fiem Industries Limited,1158.1,National Stock Exchange of India,NSE,stock
OUST-WT,"Ouster, Inc.",0.08,New York Stock Exchange,NYSE,stock
LIGT3.SA,Light S.A.,5.19,São Paulo,SAO,stock
GODREJPROP.BO,Godrej Properties Limited,2495.8,Bombay Stock Exchange,BSE,stock
475240.KQ,,2225.0,KOSDAQ,KOE,stock
3686.HK,Clifford Modern Living Holdings Limited,0.72,HKSE,HKSE,stock
ALLCARGO.BO,Allcargo Logistics Limited,73.8,Bombay Stock Exchange,BSE,stock
VEEFIN.BO,VEEFIN SOLUTIONS LIMITED,310.7,Bombay Stock Exchange,BSE,stock
TEGA.NS,Tega Industries Limited,1322.15,National Stock Exchange of India,NSE,stock
JACRX,Easterly Global Real Estate Fund Class C,12.89,NASDAQ,NASDAQ,trust
ZENTEC.NS,Zen Technologies Limited,992.85,National Stock Exchange of India,NSE,stock
PTAIY,PT Astra International Tbk,6.53,Other OTC,PNK,stock
HSHPO.XD,Himalaya Shipping Ltd,81.5,Cboe Europe,DXE,stock
FCSTX,Fidelity California Limited Term Tax-Free Bond Fund,10.24,NASDAQ,NASDAQ,trust
FHZN.SW,Flughafen Zürich AG,203.4,Swiss Exchange,SIX,stock
1210.TW,"Great Wall Enterprise Co., Ltd.",57.8,Taiwan,TAI,stock
NS6.BE,Belships ASA,1.826,Berlin,BER,stock
SBUM,"Silver Buckle Mines, Inc.",0.199,Other OTC,PNK,stock
1907.HK,China Risun Group Limited,3.11,HKSE,HKSE,stock
AGARIND.NS,Agarwal Industrial Corporation Limited,843.6,National Stock Exchange of India,NSE,stock
DRREDDY.BO,Dr. Reddy's Laboratories Limited,6234.9,Bombay Stock Exchange,BSE,stock
002093.SZ,"Guomai Technologies, Inc.",7.07,Shenzhen,SHZ,stock
FCL.BO,Fineotex Chemical Limited,380.75,Bombay Stock Exchange,BSE,stock
GSS.BO,GSS Infotech Limited,136.3,Bombay Stock Exchange,BSE,stock
INDIANHUME.NS,The Indian Hume Pipe Company Limited,278.85,National Stock Exchange of India,NSE,stock
0QQR.L,Gurit Holding AG,65.2995,London Stock Exchange,LSE,stock
4251.T,KEIWA Incorporated,1115.0,Tokyo,JPX,stock
BRKN.SW,Burkhalter Holding AG,96.1,Swiss Exchange,SIX,stock
AKZOINDIA.NS,Akzo Nobel India Limited,2447.5,National Stock Exchange of India,NSE,stock
